o,d,dis
1,1,0.0
1,34,2361.304749
1,86,2719.882402
1,87,4963.609013
1,80,5358.626063
1,90,5955.774537
1,69,6207.195297
1,81,6251.293304
1,35,6277.390083
1,38,6298.71536
1,89,6304.056142
1,36,6346.036816
1,12,6393.735336
1,113,7121.674219
1,115,7126.669567
1,9,7185.685958
1,114,7192.768559
1,10,7258.962458
1,117,7635.886866
1,67,7739.373994
1,33,7753.862729
1,30,8063.479035
1,31,8097.315308
1,79,8236.012922
1,112,8521.390711
1,43,8669.906663
1,29,8832.949914
1,97,8935.433377
1,116,9001.699788
1,37,9025.023302
1,40,9216.672995
1,39,9394.441041
1,84,9543.938339
1,82,9581.361222
1,28,9595.134311
1,41,10048.89957
1,42,10068.5521
1,68,10119.84661
1,65,10140.74032
1,83,10307.18178
1,2,10433.78631
1,32,10469.30746
1,85,10705.64299
1,72,10746.17784
1,119,11169.12207
1,44,11205.62414
1,104,11250.86683
1,45,11674.05871
1,88,11860.34059
1,99,11959.13086
1,75,12754.10271
1,74,12788.99109
1,96,13000.856
1,48,13153.39861
1,78,13450.54213
1,55,13682.6419
1,47,13754.01408
1,91,13804.99715
1,46,13885.67939
1,64,14225.30577
1,118,14277.2447
1,73,14332.25858
1,108,14357.52344
1,14,14378.1418
1,107,14384.03039
1,70,14411.26725
1,95,14439.2135
1,76,14554.14626
1,103,14671.80184
1,93,14723.36206
1,49,14734.51449
1,66,14801.52263
1,101,14856.5269
1,105,14887.8337
1,100,15019.17296
1,123,15052.62964
1,122,15127.12066
1,124,15132.60309
1,121,15137.78516
1,106,15502.65098
1,53,15691.76368
1,102,15709.25131
1,51,15790.36151
1,120,15799.94856
1,52,15848.64775
1,50,16099.9947
1,4,16450.17031
1,109,16648.26014
1,59,16650.7653
1,6,16677.517
1,13,16715.66976
1,5,16949.52216
1,77,17434.30299
1,92,17460.2065
1,61,17642.70386
1,15,17881.17172
1,16,17944.83143
1,98,18009.45878
1,125,18267.37639
1,58,19010.11576
1,62,19071.39342
1,17,19445.79799
1,24,20507.98373
1,3,20524.79565
1,60,20639.11173
1,94,20823.52575
1,57,20833.72243
1,21,20983.97296
1,22,20988.64586
1,19,21992.14892
1,71,22209.06707
1,18,22210.87649
1,20,22553.37938
1,7,22925.88438
1,63,23007.93413
1,11,23671.1369
1,23,23831.38094
1,54,24522.42851
1,8,24701.05586
1,111,25170.12696
1,56,26265.56163
1,26,26308.05553
1,27,26561.42344
1,110,26802.6142
1,25,31097.70766
2,2,0.0
2,32,2521.244318
2,33,2879.019459
2,88,4281.39346
2,91,5721.805761
2,93,6087.648622
2,70,6145.584019
2,96,6554.875218
2,12,6607.221937
2,95,6701.405235
2,92,7643.077385
2,86,7961.184673
2,15,8064.042608
2,16,8127.70231
2,98,8192.329659
2,34,8315.298665
2,30,8418.575318
2,66,8419.25277
2,40,8469.929825
2,31,8528.174068
2,100,8548.229329
2,101,8866.585533
2,99,8890.855496
2,47,9124.307269
2,89,9402.55495
2,112,9715.551791
2,87,9772.479469
2,97,9819.401921
2,38,9846.347563
2,103,10094.13064
2,90,10260.15684
2,17,10267.25453
2,120,10370.67088
2,1,10433.78631
2,102,10461.36814
2,5,10477.78031
2,69,10511.5776
2,80,10724.97807
2,43,10900.44375
2,9,10991.64305
2,10,11064.91955
2,77,11184.23938
2,73,11220.86113
2,94,11238.81681
2,74,11844.15564
2,125,12135.76702
2,3,12265.5786
2,81,12435.35595
2,28,12457.09782
2,36,12488.27541
2,121,12524.66166
2,122,12535.32617
2,123,12609.81719
2,71,12624.35812
2,65,12667.9247
2,57,12720.05618
2,85,12830.16054
2,18,13032.33303
2,72,13105.83776
2,19,13114.29423
2,35,13216.40527
2,113,13305.73686
2,115,13310.73221
2,114,13335.00715
2,124,13367.42811
2,75,13371.33691
2,58,13489.22503
2,117,13778.12546
2,119,13947.14087
2,104,14013.88989
2,84,14032.08364
2,106,14450.21241
2,20,14839.0617
2,54,15065.29511
2,79,15069.31817
2,37,15462.38384
2,11,15492.44535
2,67,15512.71361
2,39,15805.48745
2,116,15828.23984
2,41,15904.86263
2,42,15924.51516
2,83,16163.14484
2,60,16330.34386
2,82,16579.01574
2,56,16680.85268
2,109,16690.27964
2,107,16727.40209
2,78,16735.83979
2,111,16991.43541
2,108,17010.73558
2,44,17225.83423
2,59,17229.83711
2,6,17256.58881
2,55,17295.94535
2,45,17747.38043
2,23,17776.51482
2,68,17785.15278
